"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,006,223",""
"1991","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,127,666",""
"1992","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,216,626",""
"1993","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,405,332",""
"1994","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,442,184",""
"1995","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,530,819",""
"1996","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,694,097",""
"1997","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,836,943",""
"1998","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,944,494",""
"1999","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,962,888",""
"2000","European Union (28 countries)","Terajoule","Renewable energies","Primary production","4,111,283",""
"2001","European Union (28 countries)","Terajoule","Renewable energies","Primary production","4,244,287",""
"2002","European Union (28 countries)","Terajoule","Renewable energies","Primary production","4,182,872",""
"2003","European Union (28 countries)","Terajoule","Renewable energies","Primary production","4,500,007",""
"2004","European Union (28 countries)","Terajoule","Renewable energies","Primary production","4,748,366",""
"2005","European Union (28 countries)","Terajoule","Renewable energies","Primary production","5,019,081",""
"2006","European Union (28 countries)","Terajoule","Renewable energies","Primary production","5,281,405",""
"2007","European Union (28 countries)","Terajoule","Renewable energies","Primary production","5,685,723",""
"2008","European Union (28 countries)","Terajoule","Renewable energies","Primary production","6,083,560",""
"2009","European Union (28 countries)","Terajoule","Renewable energies","Primary production","6,385,071",""
"2010","European Union (28 countries)","Terajoule","Renewable energies","Primary production","7,073,206",""
"2011","European Union (28 countries)","Terajoule","Renewable energies","Primary production","6,926,663",""
"2012","European Union (28 countries)","Terajoule","Renewable energies","Primary production","7,626,803",""
"2013","European Union (28 countries)","Terajoule","Renewable energies","Primary production","8,147,248",""
"2014","European Union (28 countries)","Terajoule","Renewable energies","Primary production","8,267,403",""
"2015","European Union (28 countries)","Terajoule","Renewable energies","Primary production","8,584,751",""
"1990","Belgium","Terajoule","Renewable energies","Primary production","20,146",""
"1991","Belgium","Terajoule","Renewable energies","Primary production","20,383",""
"1992","Belgium","Terajoule","Renewable energies","Primary production","20,211",""
"1993","Belgium","Terajoule","Renewable energies","Primary production","14,242",""
"1994","Belgium","Terajoule","Renewable energies","Primary production","13,625",""
"1995","Belgium","Terajoule","Renewable energies","Primary production","18,531",""
"1996","Belgium","Terajoule","Renewable energies","Primary production","17,699",""
"1997","Belgium","Terajoule","Renewable energies","Primary production","17,974",""
"1998","Belgium","Terajoule","Renewable energies","Primary production","20,583",""
"1999","Belgium","Terajoule","Renewable energies","Primary production","20,832",""
"2000","Belgium","Terajoule","Renewable energies","Primary production","22,340",""
"2001","Belgium","Terajoule","Renewable energies","Primary production","25,230",""
"2002","Belgium","Terajoule","Renewable energies","Primary production","24,109",""
"2003","Belgium","Terajoule","Renewable energies","Primary production","29,640",""
"2004","Belgium","Terajoule","Renewable energies","Primary production","31,817",""
"2005","Belgium","Terajoule","Renewable energies","Primary production","36,628",""
"2006","Belgium","Terajoule","Renewable energies","Primary production","39,024",""
"2007","Belgium","Terajoule","Renewable energies","Primary production","47,696",""
"2008","Belgium","Terajoule","Renewable energies","Primary production","57,567",""
"2009","Belgium","Terajoule","Renewable energies","Primary production","72,826",""
"2010","Belgium","Terajoule","Renewable energies","Primary production","94,936",""
"2011","Belgium","Terajoule","Renewable energies","Primary production","114,140",""
