"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","163,750",""
"1991","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","70,175",""
"1992","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","79,434",""
"1993","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","79,596",""
"1994","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","71,143",""
"1995","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","74,236",""
"1996","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","-4,734",""
"1997","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","22,662",""
"1998","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","4,018",""
"1999","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","47,819",""
"2000","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","82,876",""
"2001","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","25,319",""
"2002","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","55,883",""
"2003","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","346",""
"2004","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","-15,584",""
"2005","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","56,585",""
"2006","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","30,514",""
"2007","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","59,116",""
"2008","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","83,074",""
"2009","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","72,518",""
"2010","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","26,845",""
"2011","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","25,862",""
"2012","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","67,187",""
"2013","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","45,403",""
"2014","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","55,793",""
"2015","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","51,332",""
"1990","Belgium","Terajoule","Electrical energy","Gross inland consumption","-13,406",""
"1991","Belgium","Terajoule","Electrical energy","Gross inland consumption","-6,649",""
"1992","Belgium","Terajoule","Electrical energy","Gross inland consumption","461",""
"1993","Belgium","Terajoule","Electrical energy","Gross inland consumption","8,032",""
"1994","Belgium","Terajoule","Electrical energy","Gross inland consumption","14,339",""
"1995","Belgium","Terajoule","Electrical energy","Gross inland consumption","14,659",""
"1996","Belgium","Terajoule","Electrical energy","Gross inland consumption","15,088",""
"1997","Belgium","Terajoule","Electrical energy","Gross inland consumption","11,772",""
"1998","Belgium","Terajoule","Electrical energy","Gross inland consumption","5,015",""
"1999","Belgium","Terajoule","Electrical energy","Gross inland consumption","3,067",""
"2000","Belgium","Terajoule","Electrical energy","Gross inland consumption","15,574",""
"2001","Belgium","Terajoule","Electrical energy","Gross inland consumption","32,782",""
"2002","Belgium","Terajoule","Electrical energy","Gross inland consumption","27,317",""
"2003","Belgium","Terajoule","Electrical energy","Gross inland consumption","23,076",""
"2004","Belgium","Terajoule","Electrical energy","Gross inland consumption","27,997",""
"2005","Belgium","Terajoule","Electrical energy","Gross inland consumption","22,694",""
"2006","Belgium","Terajoule","Electrical energy","Gross inland consumption","36,565",""
"2007","Belgium","Terajoule","Electrical energy","Gross inland consumption","24,404",""
"2008","Belgium","Terajoule","Electrical energy","Gross inland consumption","38,149",""
"2009","Belgium","Terajoule","Electrical energy","Gross inland consumption","-6,606",""
"2010","Belgium","Terajoule","Electrical energy","Gross inland consumption","1,984",""
"2011","Belgium","Terajoule","Electrical energy","Gross inland consumption","9,133",""
"2012","Belgium","Terajoule","Electrical energy","Gross inland consumption","35,770",""
"2013","Belgium","Terajoule","Electrical energy","Gross inland consumption","34,704",""
"2014","Belgium","Terajoule","Electrical energy","Gross inland consumption","63,371",""
"2015","Belgium","Terajoule","Electrical energy","Gross inland consumption","75,596",""
"1990","Bulgaria","Terajoule","Electrical energy","Gross inland consumption","13,644",""
"1991","Bulgaria","Terajoule","Electrical energy","Gross inland consumption","7,646",""
"1992","Bulgaria","Terajoule","Electrical energy","Gross inland consumption","9,738",""
"1993","Bulgaria","Terajoule","Electrical energy","Gross inland consumption","396",""
