"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","548,835",""
"1991","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","525,826",""
"1992","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","524,396",""
"1993","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","536,999",""
"1994","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","564,090",""
"1995","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","610,434",""
"1996","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","613,151",""
"1997","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","649,504",""
"1998","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","661,212",""
"1999","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","643,216",""
"2000","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","660,370",""
"2001","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","631,836",""
"2002","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","656,513",""
"2003","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","682,993",""
"2004","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","706,191",""
"2005","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","720,638",""
"2006","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","743,660",""
"2007","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","787,851",""
"2008","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","743,369",""
"2009","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","741,709",""
"2010","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","807,054",""
"2011","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","807,392",""
"2012","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","767,086",""
"2013","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","822,367",""
"2014","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","854,287",""
"2015","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption - Industry","895,139",""
