"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,576,758",""
"1991","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,463,535",""
"1992","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,390,635",""
"1993","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,311,352",""
"1994","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,362,983",""
"1995","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,461,695",""
"1996","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,502,908",""
"1997","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,616,978",""
"1998","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,647,153",""
"1999","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,704,393",""
"2000","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,818,570",""
"2001","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,867,610",""
"2002","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,892,000",""
"2003","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,920,029",""
"2004","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","4,031,687",""
"2005","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","4,074,973",""
"2006","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","4,068,212",""
"2007","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","4,107,722",""
"2008","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","4,024,109",""
"2009","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,473,129",""
"2010","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,698,827",""
"2011","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,725,777",""
"2012","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,639,175",""
"2013","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,587,148",""
"2014","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,572,334",""
"2015","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,586,907",""
"1990","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","109,883",""
"1991","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","111,892",""
"1992","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","115,963",""
"1993","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","112,518",""
"1994","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","120,989",""
"1995","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","124,578",""
"1996","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","124,193",""
"1997","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","131,116",""
"1998","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","134,622",""
"1999","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","135,479",""
"2000","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","143,525",""
"2001","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","141,206",""
"2002","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","140,159",""
"2003","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","144,094",""
"2004","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","145,321",""
"2005","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","141,923",""
"2006","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","144,760",""
"2007","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","144,482",""
"2008","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","140,468",""
"2009","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","117,634",""
"2010","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","137,293",""
"2011","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","134,140",""
"2012","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","134,964",""
"2013","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","136,033",""
"2014","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","136,030",""
"2015","Belgium","Terajoule","Electrical energy","Final Energy Consumption - Industry","136,570",""
"1990","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","66,787",""
"1991","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","50,393",""
"1992","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","43,027",""
"1993","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","39,290",""
"1994","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","41,260",""
"1995","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","43,801",""
"1996","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","44,129",""
"1997","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","42,523",""
"1998","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","38,477",""
"1999","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,474",""
"2000","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,902",""
"2001","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","32,526",""
"2002","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,524",""
"2003","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","33,109",""
"2004","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","34,967",""
"2005","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,417",""
"2006","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","36,122",""
"2007","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","36,644",""
"2008","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","37,588",""
"2009","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,215",""
"2010","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","28,145",""
"2011","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,319",""
"2012","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","29,761",""
"2013","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,640",""
"2014","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","31,342",""
"2015","Bulgaria","Terajoule","Electrical energy","Final Energy Consumption - Industry","32,206",""
"1990","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","96,919",""
"1991","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","83,066",""
"1992","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","70,830",""
"1993","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","61,762",""
"1994","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","62,906",""
"1995","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","66,262",""
"1996","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","65,437",""
"1997","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","66,769",""
"1998","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","67,813",""
"1999","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","67,676",""
"2000","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","68,198",""
"2001","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","71,780",""
"2002","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","74,009",""
"2003","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","73,980",""
"2004","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","80,489",""
"2005","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","83,322",""
"2006","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","85,007",""
"2007","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","87,023",""
"2008","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","87,646",""
"2009","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","78,556",""
"2010","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","78,455",""
"2011","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","80,978",""
"2012","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","80,557",""
"2013","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","77,962",""
"2014","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","80,402",""
"2015","Czech Republic","Terajoule","Electrical energy","Final Energy Consumption - Industry","81,511",""
"1990","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,272",""
"1991","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,992",""
"1992","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","31,478",""
"1993","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","31,658",""
"1994","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","32,713",""
"1995","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","33,772",""
"1996","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","34,315",""
"1997","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,402",""
"1998","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,471",""
"1999","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,438",""
"2000","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,975",""
"2001","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,993",""
"2002","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,492",""
"2003","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","34,765",""
"2004","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,910",""
"2005","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","36,940",""
"2006","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","36,497",""
"2007","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,618",""
"2008","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","34,430",""
"2009","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,233",""
"2010","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,650",""
"2011","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","31,133",""
"2012","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,755",""
"2013","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,092",""
"2014","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","29,585",""
"2015","Denmark","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,229",""
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","779,324",""
"1991","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","772,247",""
"1992","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","762,883",""
"1993","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","727,920",""
"1994","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","725,051",""
"1995","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","737,006",""
"1996","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","724,064",""
"1997","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","742,669",""
"1998","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","749,855",""
"1999","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","764,521",""
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","761,724",""
"2001","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","789,217",""
"2002","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","794,088",""
"2003","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","793,807",""
"2004","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","817,574",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","830,020",""
"2006","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","834,491",""
"2007","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","861,505",""
"2008","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","845,878",""
"2009","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","727,276",""
"2010","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","808,308",""
"2011","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","827,298",""
"2012","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","814,460",""
"2013","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","807,368",""
"2014","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","823,583",""
"2015","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Final Energy Consumption - Industry","809,568",""
"1990","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","9,828",""
"1991","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","10,372",""
"1992","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,304",""
"1993","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","4,770",""
"1994","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,170",""
"1995","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,304",""
"1996","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,865",""
"1997","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,970",""
"1998","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,919",""
"1999","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,588",""
"2000","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,599",""
"2001","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,538",""
"2002","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,782",""
"2003","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,312",""
"2004","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,718",""
"2005","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,805",""
"2006","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","8,420",""
"2007","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","8,611",""
"2008","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","8,406",""
"2009","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","6,988",""
"2010","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,542",""
"2011","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,366",""
"2012","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,873",""
"2013","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,762",""
"2014","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,621",""
"2015","Estonia","Terajoule","Electrical energy","Final Energy Consumption - Industry","7,412",""
"1990","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","16,146",""
"1991","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","16,654",""
"1992","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","17,564",""
"1993","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","18,194",""
"1994","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","19,343",""
"1995","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","20,758",""
"1996","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","22,259",""
"1997","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","23,807",""
"1998","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","25,517",""
"1999","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","26,176",""
"2000","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","27,821",""
"2001","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","27,936",""
"2002","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","28,130",""
"2003","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","26,197",""
"2004","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","24,793",""
"2005","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","27,623",""
"2006","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","32,375",""
"2007","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,521",""
"2008","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","28,717",""
"2009","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","30,953",""
"2010","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","32,774",""
"2011","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","34,142",""
"2012","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","32,980",""
"2013","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","33,433",""
"2014","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","33,826",""
"2015","Ireland","Terajoule","Electrical energy","Final Energy Consumption - Industry","35,438",""
"1990","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","43,592",""
"1991","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","42,826",""
"1992","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","42,286",""
"1993","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","40,871",""
"1994","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","41,947",""
"1995","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","43,438",""
"1996","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","43,657",""
"1997","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","44,809",""
"1998","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","46,469",""
"1999","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","46,440",""
"2000","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","48,769",""
"2001","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","49,543",""
"2002","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","50,868",""
"2003","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","50,962",""
"2004","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","50,353",""
"2005","Greece","Terajoule","Electrical energy","Final Energy Consumption - Industry","51,908",""
