"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","1,630,753",""
"1991","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","1,697,897",""
"1992","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","1,680,895",""
"1993","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","1,803,723",""
"1994","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","1,782,605",""
"1995","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","1,853,966",""
"1996","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","1,967,253",""
"1997","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,050,085",""
"1998","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,060,500",""
"1999","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,016,901",""
"2000","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,057,553",""
"2001","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,056,015",""
"2002","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,108,017",""
"2003","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,295,459",""
"2004","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,314,242",""
"2005","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,466,599",""
"2006","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,617,948",""
"2007","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","2,856,565",""
"2008","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,041,346",""
"2009","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,196,330",""
"2010","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,469,526",""
"2011","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,303,050",""
"2012","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,503,663",""
"2013","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,553,632",""
"2014","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,471,690",""
"2015","European Union (28 countries)","Terajoule","Renewable energies","Final Energy Consumption","3,636,070",""
"1990","Belgium","Terajoule","Renewable energies","Final Energy Consumption","13,614",""
"1991","Belgium","Terajoule","Renewable energies","Final Energy Consumption","13,792",""
"1992","Belgium","Terajoule","Renewable energies","Final Energy Consumption","13,393",""
"1993","Belgium","Terajoule","Renewable energies","Final Energy Consumption","10,499",""
"1994","Belgium","Terajoule","Renewable energies","Final Energy Consumption","10,307",""
"1995","Belgium","Terajoule","Renewable energies","Final Energy Consumption","14,551",""
"1996","Belgium","Terajoule","Renewable energies","Final Energy Consumption","14,927",""
"1997","Belgium","Terajoule","Renewable energies","Final Energy Consumption","14,112",""
"1998","Belgium","Terajoule","Renewable energies","Final Energy Consumption","15,995",""
"1999","Belgium","Terajoule","Renewable energies","Final Energy Consumption","17,123",""
"2000","Belgium","Terajoule","Renewable energies","Final Energy Consumption","17,124",""
"2001","Belgium","Terajoule","Renewable energies","Final Energy Consumption","19,345",""
"2002","Belgium","Terajoule","Renewable energies","Final Energy Consumption","19,321",""
"2003","Belgium","Terajoule","Renewable energies","Final Energy Consumption","22,871",""
"2004","Belgium","Terajoule","Renewable energies","Final Energy Consumption","23,777",""
"2005","Belgium","Terajoule","Renewable energies","Final Energy Consumption","26,952",""
"2006","Belgium","Terajoule","Renewable energies","Final Energy Consumption","29,379",""
"2007","Belgium","Terajoule","Renewable energies","Final Energy Consumption","34,311",""
