"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,020,656",""
"1991","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,148,939",""
"1992","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,229,856",""
"1993","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,420,815",""
"1994","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,455,197",""
"1995","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,542,921",""
"1996","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,705,435",""
"1997","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,845,156",""
"1998","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,950,993",""
"1999","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,966,428",""
"2000","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","4,125,129",""
"2001","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","4,258,897",""
"2002","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","4,198,933",""
"2003","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","4,512,083",""
"2004","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","4,771,856",""
"2005","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","5,078,043",""
"2006","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","5,381,909",""
"2007","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","5,791,256",""
"2008","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","6,227,325",""
"2009","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","6,575,974",""
"2010","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","7,318,512",""
"2011","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","7,202,658",""
"2012","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","7,905,173",""
"2013","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","8,361,190",""
"2014","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","8,502,040",""
"2015","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","8,836,084",""
