"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","993,544"
"1991","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","962,093"
"1992","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","941,843"
"1993","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","919,820"
"1994","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","934,162"
"1995","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","961,582"
"1996","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","973,030"
"1997","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,004,716"
"1998","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,013,098"
"1999","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,028,998"
"2000","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,060,714"
"2001","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,074,336"
"2002","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,081,111"
"2003","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,088,897"
"2004","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,119,913"
"2005","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,131,937"
"2006","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,130,059"
"2007","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,141,034"
"2008","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,117,808"
"2009","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","964,758"
"2010","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,027,452"
"2011","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,034,938"
"2012","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","1,010,882"
"2013","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","996,430"
"2014","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","992,315"
"2015","European Union (28 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","996,363"
"1990","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","684,032"
"1991","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","681,110"
"1992","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","681,266"
"1993","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","662,900"
"1994","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","678,090"
"1995","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","690,469"
"1996","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","692,633"
"1997","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","718,502"
"1998","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","735,019"
"1999","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","754,331"
"2000","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","780,281"
"2001","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","794,334"
"2002","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","798,401"
"2003","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","808,524"
"2004","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","828,952"
"2005","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","837,703"
"2006","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","834,259"
"2007","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","844,289"
"2008","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","821,014"
"2009","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","705,330"
"2010","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","755,192"
"2011","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","760,654"
"2012","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","736,359"
"2013","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","724,722"
"2014","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","723,985"
"2015","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","724,819"
"1990","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","30,523"
"1991","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","31,081"
"1992","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","32,212"
"1993","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","31,255"
"1994","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","33,608"
"1995","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","34,605"
"1996","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","34,498"
"1997","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","36,421"
"1998","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","37,395"
"1999","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","37,633"
"2000","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","39,868"
"2001","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","39,224"
"2002","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","38,933"
"2003","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","40,026"
"2004","Belgium","Gigawatt-hour","Electrical energy","Final Energy Consumption - Industry","40,367"
